,sample,Area.20.,Perimeter.20.,Ix.20.,Iy.20.,Ixy.20.,Imin.20.,Imax.20.,Theta.20.,Area.80.,Perimeter.80.,Ix.80.,Iy.80.,Ixy.80.,Imin.80.,Imax.80.,Theta.80.
201,ID_122-Humerus_L,395.356528271509,72.0919337854695,11980.8175541147,13310.0904454155,1323.56946738479,11164.3808280818,14126.5271714484,-58.3318619351452,296.699951979941,65.3855575797439,5687.87935528079,9606.01224189838,1268.56277103123,5313.023599084,9980.86799809517,-73.5377786503479
202,ID_122-Humerus_R,405.492168848789,73.0648546294198,12639.892769366,14020.7450300789,-1750.86349634433,11448.2425930042,15212.3952064407,55.7605177308513,304.57782150786,66.1477871317957,6140.18127498884,9908.78295530862,-1143.05916420121,5820.58241028654,10228.3818200109,74.3790300972307
203,ID_123-Humerus_L,295.357705365135,62.5733911188241,6075.32920196932,8111.082612903,304.562223031991,6030.74125615113,8155.67055872119,-81.6710594205133,254.289850528561,61.189175176306,4238.63351804287,7094.801969703,881.561235861103,3988.45233916556,7344.98314858031,-74.1564128847672
204,ID_124-Humerus_L,369.054028644343,70.6777409291321,11859.923975637,10240.9884622674,-828.746024968786,9891.98393917428,12208.9284987302,22.8371087577308,254.888902898837,62.2814977149253,4815.92153679967,6669.07798915301,1227.00835079918,4204.93782856341,7280.06169738927,-63.529181763438
205,ID_124-Humerus_R,375.591906255395,71.3393542710024,12398.2990869534,10472.9159835473,812.618575303543,10175.796449155,12695.4186213457,-20.0840406785229,269.23895042183,64.2018973817565,5009.53519736941,7748.86077820326,-829.188982922528,4778.09507764821,7980.30089792446,74.4047182467952
206,ID_125-Humerus_L,476.271370913723,79.1661304859906,16925.3511490324,19583.9053543082,-938.157412111696,16627.6319561928,19881.6245471478,72.3934452344951,304.993535362144,66.1219076260766,6361.14086232311,9697.70436699615,1442.75274836139,5823.81623588681,10235.0289934325,-69.5731520704997
207,ID_125-Humerus_R,520.332206963639,82.408732320303,20127.0559825224,23376.5285977604,587.128067192885,20024.2253778103,23479.3592024724,-80.0658774142298,305.531761226088,65.0267131407881,6205.32742130802,9628.1659551706,-1083.83871148709,5890.99688637787,9942.49649010074,73.8269969720888
208,ID_126-Humerus_L,441.967917642103,76.6519979407894,14307.2903016192,17496.2971422965,-481.817574639261,14236.0838634582,17567.5035804575,81.5932724268861,373.175932479821,74.3475463509163,9220.01446699718,15781.2191872503,3279.12560534814,7862.18858245748,17139.04507179,-67.5064493386917
209,ID_126-Humerus_R,490.49080404111,81.1188030974416,17934.4403962081,21344.504629442,2292.39023047774,16782.5182801701,22496.42674548,-63.3205512104873,400.19999643054,76.828669647915,9501.07712199745,19144.670595194,-2502.75655963934,8890.2396756337,19755.5080415578,76.2842014226059
210,ID_127-Humerus_L,405.339720191221,73.0238878675313,12921.402502915,13641.7986924867,-475.880390711132,12684.7716324597,13878.4295629419,63.5612012570655,298.423599669289,69.1153436013786,7056.41619818417,9864.41692625127,3184.80278975801,4979.87266336272,11940.9604610727,-56.8949916919715
211,ID_127-Humerus_R,425.918767154541,75.2383586507311,14688.7400856632,14772.8041515566,1104.16651252578,13625.8058842041,15835.7383530157,-46.0900058208004,312.26269565748,69.8199929461828,7490.71239189395,10872.9647811388,-3433.30169288553,5354.63747859055,13009.0396944423,58.11163476259
212,ID_128-Humerus_L,360.164326765246,69.1597707561952,9364.5902953944,11593.3445481858,-158.08640546757,9353.4330191939,11604.5018243863,85.9629256089543,249.349553974248,61.3288623378696,4189.83972287787,7161.41203774768,1696.30068945888,3420.63219192164,7930.61956870391,-65.6075243283641
213,ID_128-Humerus_R,360.582748940137,69.493651699234,10132.3413380695,10933.8993693868,788.414006625731,9648.68806958431,11417.552637872,-58.4729289499161,259.54842618434,63.0617995333121,4348.07156237762,8010.93530855865,-1489.48526554397,3818.84482778162,8540.16204315465,70.4394431226535
214,ID_129-Humerus_L,383.117855303126,70.6481991285484,10781.4176440667,12861.1420156966,636.44974632611,10602.1073051394,13040.4523546239,-74.2655998068962,297.525862009316,65.5834490653842,6030.26715852496,9542.75310043185,1737.77700844841,5315.83040435916,10257.1898545976,-67.6514032363727
215,ID_129-Humerus_R,416.852491187891,73.6130305979002,13004.5122048108,14935.1730834901,-939.710091921371,12622.6537509456,15317.0315373553,67.885254082861,299.054009020319,65.1494199713203,6338.99568935659,8970.24234770909,-1381.48121826535,5746.90963272673,9562.32840433895,66.8006149095131
