,sample,Area.20.,Perimeter.20.,Ix.20.,Iy.20.,Ixy.20.,Imin.20.,Imax.20.,Theta.20.,Area.80.,Perimeter.80.,Ix.80.,Iy.80.,Ixy.80.,Imin.80.,Imax.80.,Theta.80.
315,ID_177-Tibia_L,909.953885070055,113.478491100783,82115.1586825123,62904.6579434147,-25136.3072006823,45600.8991459802,99418.9174799468,34.5434079415014,468.106108772184,78.1259480501806,16971.1882451504,18614.4237327732,-2057.54938058397,15577.2777967496,20008.3341811741,55.8838726933161
316,ID_177-Tibia_R,913.748015160032,112.910090771089,83924.0957566242,60274.6659340678,21368.2082500398,47677.5830706106,96521.1786200814,-30.5203925065408,438.456137925212,75.9077361370427,15202.2910460247,16001.4461473773,859.441397169976,14654.0807859681,16549.656407434,-57.4674953843665
317,ID_178-Tibia_L,702.364016283449,103.863447346576,46596.2946148729,45791.9294711666,-20714.9403748045,25475.2678292899,66912.9562567496,44.4438683184489,374.259818002846,71.2211790800232,10361.0029815292,12773.8871276291,657.192168652351,10193.616818531,12941.2732906272,-75.7106444553138
318,ID_178-Tibia_R,617.967095926826,97.1310753246297,33583.2641835527,37455.3573712371,15154.9360146727,20241.2100439153,50797.4115108745,-48.6400579536785,394.221447258862,71.8319282663546,12667.4061695433,12571.0183434216,-1504.96094392051,11113.4798446701,14124.9446682948,44.0829115848985
319,ID_179-Tibia_L,736.88121119795,102.980853670297,49394.2015520588,47628.8666709004,-18979.8370864101,29511.1836505716,67511.8845723876,43.6686738453855,370.677154642978,69.112645316384,10828.7856185582,11241.1162642042,-252.736697847841,10708.7915037226,11361.1103790398,64.6026070700655
320,ID_179-Tibia_R,708.295693814073,100.986579356555,47865.1996256247,41649.8667735395,16970.1418400238,27505.1911937534,62009.8752054107,-39.8113305080688,377.480576414685,69.8890456054763,10540.4982999397,12469.3312504259,560.759511711461,10389.3205982102,12620.5089521554,-74.9120798374289
321,ID_180-Tibia_L,658.425810187502,97.0369647545051,41767.8497318219,34729.5578612582,-14539.6334228526,23289.2476505184,53208.1599425617,38.1969503487392,441.744365474167,77.7605927770205,15112.0797461811,16927.8564608059,11.0418499140137,15112.0126024953,16927.9236044917,-89.6515980173037
322,ID_180-Tibia_R,642.99062194975,99.7567818491697,37261.6782843528,35179.7254487751,12992.2226130582,23186.8428704856,49254.5608626423,-42.7095368833917,473.416741693268,80.5515995889508,16478.6342203607,20356.1644738759,-921.287045680211,16270.8719102404,20563.9267839962,77.2916369657912
323,ID_181-Tibia_L,933.796193489916,116.017433728359,81571.0145422779,76877.9341051579,-35056.2495433358,44089.7780386787,114359.170608757,43.0852687456262,530.096403462545,83.0766516609896,20723.1671420946,24948.8963688246,-2644.77137378547,19450.9154363348,26221.1480745844,64.3103928836198
324,ID_181-Tibia_R,916.438959498784,114.849436229825,82775.1154400788,67226.8125167812,28891.7637121748,45081.5481861924,104920.379770668,-37.469824350294,504.363771767655,81.0212214776888,18665.7359807122,22569.7164302896,1296.8165232793,18274.2247797021,22961.2276312997,-73.2008418582285
325,ID_182-Tibia_L,746.479915765318,105.311058886154,53980.9096051025,48226.3833610433,-21628.7099546099,29284.3949520503,72922.8980140955,41.2112221451367,485.73750238307,80.9252660360658,15923.7240819767,23218.8347813437,370.009317986973,15905.0051750883,23237.5536882321,-87.1038546333977
326,ID_182-Tibia_R,730.507101921565,104.835351814468,54751.2616569234,45669.3873855683,23288.1861035253,26483.5522573537,73937.096785138,-39.4832026188983,506.039141934219,81.9059998685618,16922.5571925207,25181.9011853916,842.906132430747,16837.412283534,25267.0460943784,-84.2319176229877
327,ID_183-Tibia_L,829.373304267668,105.269822964045,56728.2994690104,57406.1756331429,-13270.6959613818,43792.2139984456,70342.2611037077,45.7315178033729,489.987106467368,80.2575017644816,16960.0800943502,22075.6016770056,-27.3903996213095,16959.9334401974,22075.7483311584,89.6932288747967
328,ID_183-Tibia_R,818.532460014316,104.845300080193,55080.9036123759,57427.4922542892,15814.9449423875,40395.7899711714,72112.6058954937,-47.1214706565812,489.195561426489,80.8292605597367,16548.9122498421,22589.7832919071,132.736469903742,16545.9970292045,22592.6985125448,-88.7418454689996
329,ID_184-Tibia_L,572.968584945274,88.6949657500579,29570.3243419006,26356.177829528,-8374.11038498094,19436.3284760857,36490.1736953429,39.5682314964062,327.785153010478,65.6358497473863,7893.93903262777,9604.8890916435,-566.132854276099,7723.57590004461,9775.25222422665,73.2521823922746
330,ID_184-Tibia_R,608.982815304258,92.0545747420762,31321.7541694759,32208.4081689549,10110.2465532164,21645.1194995488,41885.0428388821,-46.2553850591126,337.739661265785,66.612542433971,8044.44509155187,10540.4991344723,290.561358998399,8011.06766880337,10573.8765572209,-83.4470304900994
331,ID_185-Tibia_L,701.350596104898,101.975876239757,48141.5066213424,42078.563406292,-19519.0136694986,25357.0171497716,64863.0528778628,40.5859992672306,449.657894236599,76.0002658211956,15198.5510168305,17331.633744726,-1218.24247081623,14645.9490274238,17884.2357341327,65.6006749579992
332,ID_185-Tibia_R,710.861942657933,103.432040703887,46962.1122184817,45692.8825743469,19911.5074177465,26405.87939939,66249.1153934386,-44.0872502569751,437.210941390507,75.7289261354373,13245.6730426836,18073.1003131249,1893.46728369442,12591.6135658128,18727.1597899957,-70.9435769703234
333,ID_186-Tibia_L,919.97896237156,113.772648604283,86110.8809480717,59784.188963096,-19208.9400422928,49661.121421801,96233.9484893668,27.7891281596422,562.004913575593,86.0846519933728,24835.0378614607,26466.311510329,-1996.67475615962,23493.8312721863,27807.5180996034,56.1099482305293
334,ID_186-Tibia_R,908.233961204191,111.298842852134,78674.5552286155,60858.6055595105,16998.4910037071,50575.4180515646,88957.7427365615,-31.1717185275833,542.788431717472,84.5881008683822,23460.9482840543,24370.3372022197,1361.64579748756,22480.0848972332,25351.2005890408,-54.2328570486059
335,ID_188-Tibia_L,530.552778240577,86.8970617595635,27624.6346704475,21108.2598731126,-6351.51301835466,17227.9948661697,31504.8996773904,31.421583742395,344.969911603627,67.6060758744504,8826.2871365549,10608.8759598914,-800.086960850907,8519.85667447513,10915.3064219711,69.0433377559529
336,ID_188-Tibia_R,554.931862517022,88.5020629377831,29276.5321203787,23065.2252549383,4427.25018318972,20762.956033929,31578.8013413879,-27.4754414151748,349.900087666539,68.4677800328693,9497.57413349708,10499.4632530017,855.355831438325,9007.26743835941,10989.7699481394,-60.1778215522953
337,ID_190-Tibia_L,675.193621528534,97.5163113423328,38193.2893840541,41120.712552455,-13042.946159645,26532.1811171053,52781.8208194037,48.2015417339059,379.887831644196,70.7274084853593,10291.055339866,13245.179531467,514.070222669332,10204.1543195139,13332.0805518192,-80.4051414931924
